0.0003125,0.058103
0.00033546,0.059078 
0.00037074,0.06053
0.00040973,0.061826
0.00045283,0.063088
0.00050045,0.064877
0.00055308,0.066352
0.00061125,0.068202
0.00067554,0.0702
0.00074659,0.071934
0.0008251,0.07414
0.00091188,0.076238 
0.0010078,0.078453
0.0011138,0.081003
0.0012309,0.083712
0.0013604,0.086364
0.0015034,0.089447
0.0016616,0.092602
0.0018363,0.095877
0.0020294,0.099573
0.0022429,0.10335
0.0024788,0.10701   
0.0027394,0.11109
0.0030276,0.11557
0.003346,0.12003
0.0036979,0.12497
0.0040868,0.13002
0.0045166,0.13546
0.0049916,0.1413
0.0055166,0.14733
0.0060967,0.15367
0.0067379,0.16026 
0.0074466,0.16744
0.0082297,0.17503
0.0090953,0.18268
0.010052,0.19078
0.011109,0.19942
0.012277,0.20843
0.013569,0.2181
0.014996,0.22801
0.016573,0.23841
0.018316,0.2494
0.020242,0.26075
0.022371,0.27277
0.024724,0.28521
0.027324,0.29818
0.030197,0.31176
0.033373,0.32599
0.036883,0.34074
0.040762,0.35621
0.045049,0.37218
0.049787,0.38875
0.055023,0.40606
0.06081,0.42408
0.067206,0.44291
0.0725,0.4579



