0.00033546,0.033851
0.00037074,0.035539
0.00040973,0.037335
0.00045283,0.039258
0.00050045,0.041314
0.00055308,0.043423
0.00061125,0.045559
0.00067554,0.047879
0.00074659,0.050332
0.0008251,0.052997
0.00091188,0.055657
0.0010078,0.058459
0.0011138,0.06145
0.0012309,0.064628
0.0013604,0.067891
0.0015034,0.07137
0.0016616,0.074951
0.0018363,0.078799
0.0020294,0.082769
0.0022429,0.08706
0.0024788,0.091468
0.0027394,0.09607
0.0030276,0.10092
0.003346,0.10611
0.0036979,0.1115
0.0040868,0.11712
0.0045166,0.12299
0.0049916,0.12926
0.0055166,0.1357
0.0060967,0.14252
0.0067379,0.14959
0.0074466,0.15706
0.0082297,0.16496
0.0090953,0.1732
0.010052,0.18183
0.011109,0.19085
0.012277,0.20032
0.013569,0.21035
0.014996,0.22063
0.016573,0.2313
0.018316,0.24255
0.020242,0.25426
0.022371,0.26658
0.024724,0.27938
0.027324,0.2927
0.030197,0.30659
0.033373,0.32113
0.036883,0.33596
0.040762,0.35164
0.045049,0.3678
0.049787,0.38465
0.055023,0.40225
0.06081,0.42059
0.067206,0.43959
0.074274,0.45957
0.0765,0.46509


